Ano,FECHA,MES,AGENCIA,numero,ordencomp,dcliente,pproducto,tipo_medio,dmedio,bruto,INV,Grupo de Medios,INV.Dolar,,,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18
2016,ene-16,1,JBQ,INSTINSTPR22ENERO,30119,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"256,184","292,050",SOCIEDAD PERIODISTICA EXTRA LTDA,538.05,,,542.79,543.01,541.73,542.34,543.77,549.65,554.56,556.99,558.49,559.73,560.68,558.82,561.15,566.74,566.28,568.48,580.53,576.92,575.37,577.71,578.67,574.2,570.43,569.64,571.97,573.72,570.17
2016,ene-16,1,OGILVY,INS INSIME-003-16,24424,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,"AERIS HOLDING COSTA RICA, S.A.","4,598,500","4,598,500",AERIS  HOLDING COSTA RICA S.A,8471.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-006-16,24442,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,EXTRA,"170,798","194,710",SOCIEDAD PERIODISTICA EXTRA LTDA,358.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-002-16,24418,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,GPO GIGANTOGRAFIAS (KIOSKOS),"545,000","545,000",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1004.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-005-16,24439,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. / LA NACION S.A.,"251,350","286,539",GRUPO NACION GN S.A.,527.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-004-16,24429,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,PANORAMA,"289,172","326,765",INDUSTRIAS PANORAMA S.A.,602.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-004-16,24428,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,PANORAMA,"502,778","502,778",INDUSTRIAS PANORAMA S.A.,926.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ene-16,1,OGILVY,INS INSIME-002-16,24417,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,VALLAS Y GIGANTOGRAFIAS DE CR S.A,"598,955","598,955",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1103.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,JBQ,INSTINSTPRE05FEB,30294,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,358.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,JBQ,INSTINSTPRE18FEB,30402,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"256,184","292,050",SOCIEDAD PERIODISTICA EXTRA LTDA,537.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,JBQ,INSTINSTPRE08FEB,30297,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. (NACION ).,"228,500","260,490",GRUPO NACION GN S.A.,479.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,LA TRES,INSTINSTINSP10-2,80677,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,699",SOCIEDAD PERIODISTICA EXTRA LTDA,358.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,LA TRES,INSTINSTINSEXT4-2,80623,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,358.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,LA TRES,INSTINSTEXT23-2,80719,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,EXTRA,"569,298","649,000",SOCIEDAD PERIODISTICA EXTRA LTDA,1195.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,LA TRES,INSTINSTINSP10-2,80678,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. (NACION ).,"228,500","260,490",GRUPO NACION GN S.A.,479.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,LA TRES,INSTINSTINSP10-2,80679,INSTITUTO NACIONAL DE SEGUROS,INSTITUCIONAL,PRENSA,LA TEJA / GRUPO NACION GN S.A.,"168,500","192,090",GRUPO NACION GN S.A.,353.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-113-16,24515,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,"AERIS HOLDING COSTA RICA, S.A.","4,675,000","4,675,000",AERIS  HOLDING COSTA RICA S.A,8609.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-025-16,24544,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,RADIO,CARLOS FERNANDEZ CERDAS,"1,000,000","1,000,000",CARLOS FERNANDEZ CERDAS,1841.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-008-16,24506,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,REVISTA,ESTRATEGIA NEGOCIOS (*),"660,000","745,800",GRUPO EYN S.A.,1373.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-015-16,24516,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,358.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-024-16,24538,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,EXTRA,"170,789","194,700",SOCIEDAD PERIODISTICA EXTRA LTDA,358.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-037-16,24674,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,REVISTA MONEDA,"880,000","880,000",REVISTA MONEDA,1620.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-014-16,24518,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"436,000","436,000",GALLILLEO AGENCIA DIGITAL S.A.,802.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-014-16,24519,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"436,000","436,000",GALLILLEO AGENCIA DIGITAL S.A.,802.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-017-16,24520,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"817,500","817,500",GALLILLEO AGENCIA DIGITAL S.A.,1505.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-017-16,24521,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"1,090,000","1,090,000",GALLILLEO AGENCIA DIGITAL S.A.,2007.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-018-16,24522,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"1,424,630","1,624,078",GALLILLEO AGENCIA DIGITAL S.A.,2990.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-019-15,24523,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GALLILLEO AGENCIA DIGITAL S.A,"2,136,945","2,436,117",GALLILLEO AGENCIA DIGITAL S.A.,4486.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-112-16,24514,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,DIGITAL,GPO GIGANTOGRAFIAS (KIOSKOS),"545,000","545,000",VALLAS GIGANTOGRAFIAS DE COSTA RICA S.A.,1003.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-016-16,24517,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,PRENSA,GRUPO NACION GN S.A. / LA NACION S.A.,"228,500","260,490",GRUPO NACION GN S.A.,479.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-020-16,24524,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,EXTERIORES,PANORAMA,"502,778","502,778",INDUSTRIAS PANORAMA S.A.,925.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-007-16,24505,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,REVISTA,SUMMA (*) / EDITORIAL SAN JOSE,"1,045,000","1,180,850",EDITORIAL SAN JOSE S.A.,2174.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-023-16,24533,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV13. SINART,"2,825,000","3,200,350",SISTEMA NACIONAL DE RADIO Y TV S.A.,5893.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-111-16,24512,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV13. SINART,"5,677,500","6,432,525",SISTEMA NACIONAL DE RADIO Y TV S.A.,11846.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,feb-16,2,OGILVY,INS INSIME-010-16,24511,INSTITUTO NACIONAL DE SEGUROS,INS INSTITUCIONAL,TELEVISION,TV6. REPRETEL,"1,410,000","1,593,300",REPRESENTACIONES TELEVISIVAS REPRETEL S.A.,2934.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
